Area Code,Area Code (M49),M49 Code,Area,Item Code (FBS),Item Code,Item,Year,target_year,result_type,food_supply_kcal_cap_day,eligible_for_2024_scoring,scoring_exclusion_reason,predicted_shortage_probability,risk_band,predicted_shortage_warning,evidence_review_level,eligible_for_headline_ranking,headline_ranking_exclusion_reason,missing_locked_feature_count,numeric_features_outside_training_range_count,non_year_features_outside_training_range_count,unknown_model_category_count,pair_has_historical_training_support,pair_historical_rows,pair_historical_shortages,pair_historical_shortage_rate,pair_predictor_year_start,pair_predictor_year_end,production_status,recorded_element_count,source_absent_element_count,source_present_missing_element_count,recorded_zero_element_count,recorded_negative_element_count,supply_outcome_recorded_count,supply_outcomes_complete,negative_domestic_supply_flag
136,'478,478,Mauritania,'S2514,2514,Maize and products,2023,2024,Model-generated 2024 early-warning estimate,53.83,True,Eligible for prospective scoring,0.20726298701298704,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,11,1,0,0,True,13.0,4.0,0.3076923076923077,2010.0,2022.0,Recorded positive production,17,3,0,3,0,5,True,False
122,'426,426,Lesotho,'S2807,2807,Rice and products,2023,2024,Model-generated 2024 early-warning estimate,41.04,True,Eligible for prospective scoring,0.2024513431013431,Warning: 13% to below 30%,1,Heightened evidence review,True,Eligible for headline ranking inputs,30,1,0,0,True,13.0,4.0,0.3076923076923077,2010.0,2022.0,No production source row,13,6,1,2,0,5,True,False
181,'716,716,Zimbabwe,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,29.39,True,Eligible for prospective scoring,0.20013932178932176,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,9,1,0,0,True,13.0,5.0,0.38461538461538464,2010.0,2022.0,Recorded positive production,17,3,0,2,0,5,True,False
147,'516,516,Namibia,'S2807,2807,Rice and products,2023,2024,Model-generated 2024 early-warning estimate,75.74,True,Eligible for prospective scoring,0.19358455988455983,Warning: 13% to below 30%,1,Heightened evidence review,True,Eligible for headline ranking inputs,25,1,0,0,True,13.0,1.0,0.07692307692307693,2010.0,2022.0,No production source row,15,5,0,2,0,5,True,False
158,'562,562,Niger,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,169.77,True,Eligible for prospective scoring,0.19339319569319566,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,8,1,0,0,True,13.0,2.0,0.15384615384615385,2010.0,2022.0,Recorded positive production,17,3,0,3,0,5,True,False
184,'646,646,Rwanda,'S2807,2807,Rice and products,2023,2024,Model-generated 2024 early-warning estimate,166.63,True,Eligible for prospective scoring,0.19159444444444437,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,5,1,0,0,True,13.0,3.0,0.23076923076923078,2010.0,2022.0,Recorded positive production,17,1,2,4,0,5,True,False
181,'716,716,Zimbabwe,'S2517,2517,Millet and products,2023,2024,Model-generated 2024 early-warning estimate,21.25,True,Eligible for prospective scoring,0.1908459116047351,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,9,1,0,0,True,13.0,2.0,0.15384615384615385,2010.0,2022.0,Recorded positive production,17,2,1,3,0,4,False,False
114,'404,404,Kenya,'S2532,2532,Cassava and products,2023,2024,Model-generated 2024 early-warning estimate,67.32,True,Eligible for prospective scoring,0.19042222222222235,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,7,1,0,0,True,13.0,3.0,0.23076923076923078,2010.0,2022.0,Recorded positive production,18,0,2,5,0,5,True,False
158,'562,562,Niger,'S2532,2532,Cassava and products,2023,2024,Model-generated 2024 early-warning estimate,42.89,True,Eligible for prospective scoring,0.18861818181818193,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,11,1,0,0,True,13.0,3.0,0.23076923076923078,2010.0,2022.0,Recorded positive production,16,3,1,3,0,5,True,False
250,'180,180,Democratic Republic of the Congo,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,29.41,True,Eligible for prospective scoring,0.18667806637806647,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,8,1,0,0,True,13.0,1.0,0.07692307692307693,2010.0,2022.0,Recorded positive production,18,2,0,2,0,5,True,False
137,'480,480,Mauritius,'S2532,2532,Cassava and products,2023,2024,Model-generated 2024 early-warning estimate,5.49,True,Eligible for prospective scoring,0.1861626984126985,Warning: 13% to below 30%,1,Limited evidence: priority manual review,False,Limited evidence support; retained in the warning register but excluded from headline ranking calculations,26,4,3,0,False,0.0,0.0,,0.0,0.0,Recorded positive production,16,3,1,4,0,5,True,False
